# MEAN_SAMPLE_SIZE = 250665
# TOTAL_GENES = 15721
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, samplesize, log_samplesize, inverse_mac, log_inverse_mac
COVAR                      OBS_GENES       BETA   BETA_STD         SE            P
GP_10.3                        15721     0.0347     0.0383     0.0108   0.00064036
GP_10.4                        15721     0.0377     0.0402     0.0112   0.00036701
GP_10.5                        15721     0.0305     0.0337     0.0108    0.0023493
GP_10.6                        15721     0.0373     0.0405      0.011   0.00033892
GP_11.1                        15721      0.014     0.0151      0.011      0.10153
GP_2.1                         15721     0.0743     0.0798     0.0112   1.5379e-11
GP_2.11                        15721     0.0972      0.105     0.0111   8.9017e-19
GP_2.12                        15721     0.0992      0.106     0.0112   4.8811e-19
GP_2.13                        15721     0.0837     0.0934     0.0107   2.4041e-15
GP_2.14                        15721     0.0764     0.0853     0.0107   4.9195e-13
GP_2.15                        15721     0.0882     0.0987     0.0107   8.8426e-17
GP_2.16                        15721     0.0879      0.097     0.0108   2.6153e-16
GP_2.17                        15721     0.0871     0.0953     0.0109   7.9465e-16
GP_2.18                        15721     0.0989      0.108     0.0109    6.494e-20
GP_2.19                        15721     0.0871     0.0974     0.0106   1.5604e-16
GP_2.2                         15721     0.0826     0.0904     0.0109   2.0591e-14
GP_2.20                        15721     0.0978      0.107     0.0109   1.5207e-19
GP_2.21                        15721     0.0866     0.0949     0.0109   1.0295e-15
GP_2.24                        15721     0.0744     0.0804      0.011   8.4654e-12
GP_2.25                        15721     0.0971      0.104     0.0111   1.2505e-18
GP_2.3                         15721     0.0804     0.0899     0.0107   3.5448e-14
GP_2.4                         15721     0.0812     0.0908     0.0107   1.6888e-14
GP_2.5                         15721     0.0734      0.081     0.0108   6.2028e-12
GP_2.6                         15721     0.0918      0.102     0.0108   1.1899e-17
GP_2.7                         15721     0.0905        0.1     0.0108   2.0707e-17
GP_2.8                         15721       0.09     0.0985     0.0109    1.036e-16
GP_2.9                         15721     0.0733       0.08      0.011   1.2219e-11
