Lvl1	Lvl2	Lvl3	Lvl4	Lvl5	Description
Immune cells	Immune cells	Immune cells	Perivascular macrophages	PVM2	Perivascular macrophages, activated
Immune cells	Immune cells	Immune cells	Perivascular macrophages	PVM1	Perivascular macrophages
Glia	Neural crest-like glia	Neural crest-like glia	Schwann cells	SCHW	Schwann cells
Glia	Neural crest-like glia	Neural crest-like glia	Satellite glia	SATG2	Satellite glia
Glia	Neural crest-like glia	Neural crest-like glia	Satellite glia	SATG1	Satellite glia, proliferating
Glia	CNS glia	Astroependymal cells	Astrocytes	ACBG	Bergmann glia
Glia	CNS glia	Astroependymal cells	Astrocytes	ACOB	Olfactory astrocytes
Glia	CNS glia	Astroependymal cells	Astrocytes	ACTE1	Telencephalon astrocytes, fibrous
Glia	CNS glia	Astroependymal cells	Astrocytes	ACTE2	Telencephalon astrocytes, protoplasmic
Glia	CNS glia	Astroependymal cells	Astrocytes	ACNT1	Non-telencephalon astrocytes, protoplasmic
Glia	CNS glia	Astroependymal cells	Astrocytes	ACNT2	Non-telencephalon astrocytes, fibrous
Glia	CNS glia	Astroependymal cells	Astrocytes	ACMB	Dorsal midbrain Myoc-expressing astrocyte-like
Glia	CNS glia	Astroependymal cells	Ependymal cells	EPEN	Ependymal cells
Glia	CNS glia	Astroependymal cells	Ependymal cells	EPSC	Ependymal cells, spinal cord
Glia	CNS glia	Astroependymal cells	Choroid epithelial cells	CHOR	Chorid plexus epithelial cells
Neurons	PNS neurons	Sympathetic neurons	Sympathetic noradrenergic neurons	SYNOR3	Noradrenergic neurons, sympathetic
Neurons	PNS neurons	Sympathetic neurons	Sympathetic noradrenergic neurons	SYNOR2	Noradrenergic neurons, sympathetic
Neurons	PNS neurons	Sympathetic neurons	Sympathetic noradrenergic neurons	SYNOR1	Noradrenergic erector muscle neurons
Neurons	PNS neurons	Sympathetic neurons	Sympathetic noradrenergic neurons	SYNOR4	Noradrenergic erector muscle neurons
Neurons	PNS neurons	Sympathetic neurons	Sympathetic noradrenergic neurons	SYNOR5	Noradrenergic erector muscle neurons
Neurons	PNS neurons	Sympathetic neurons	Sympathetic cholinergic neurons	SYCHO2	Cholinergic neurons, sympathetic
Neurons	PNS neurons	Sympathetic neurons	Sympathetic cholinergic neurons	SYCHO1	Cholinergic neurons, sympathetic
Neurons	PNS neurons	Peripheral sensory neurons	Peripheral sensory peptidergic neurons	PSPEP1	Peptidergicv (PEP2), DRG
Neurons	PNS neurons	Peripheral sensory neurons	Peripheral sensory peptidergic neurons	PSPEP3	Peptidergic (PEP1..4), DRG
Neurons	PNS neurons	Peripheral sensory neurons	Peripheral sensory peptidergic neurons	PSPEP2	Peptidergic (PEP1.3), DRG
Neurons	PNS neurons	Peripheral sensory neurons	Peripheral sensory peptidergic neurons	PSPEP4	Peptidergic (PEP1.1), DRG
Neurons	PNS neurons	Peripheral sensory neurons	Peripheral sensory peptidergic neurons	PSPEP5	Peptidergic (PEP1.2), DRG
Neurons	PNS neurons	Peripheral sensory neurons	Peripheral sensory peptidergic neurons	PSPEP6	Peptidergic (TrpM8), DRG
Neurons	PNS neurons	Peripheral sensory neurons	Peripheral sensory peptidergic neurons	PSPEP7	Peptidergic (TrpM8), DRG
Neurons	PNS neurons	Peripheral sensory neurons	Peripheral sensory peptidergic neurons	PSPEP8	Peptidergic (TrpM8), DRG
Neurons	PNS neurons	Peripheral sensory neurons	Peripheral sensory neurofilament neurons	PSNF2	Neurofilament (NF4/5), DRG
Neurons	PNS neurons	Peripheral sensory neurons	Peripheral sensory neurofilament neurons	PSNF3	Neurofilament (NF2/3), DRG
Neurons	PNS neurons	Peripheral sensory neurons	Peripheral sensory neurofilament neurons	PSNF1	Neurofilament (NF1), DRG
Neurons	PNS neurons	Peripheral sensory neurons	Peripheral sensory non-peptidergic neurons	PSNP1	Non-peptidergic (TH), DRG
Neurons	PNS neurons	Peripheral sensory neurons	Peripheral sensory non-peptidergic neurons	PSNP3	Non-peptidergic (NP1.2), DRG
Neurons	PNS neurons	Peripheral sensory neurons	Peripheral sensory non-peptidergic neurons	PSNP2	Non-peptidergic (NP1.1), DRG
Neurons	PNS neurons	Peripheral sensory neurons	Peripheral sensory non-peptidergic neurons	PSNP5	Non-peptidergic (NP2.2), DRG
Neurons	PNS neurons	Peripheral sensory neurons	Peripheral sensory non-peptidergic neurons	PSNP4	Non-peptidergic (NP2.1), DRG
Neurons	PNS neurons	Peripheral sensory neurons	Peripheral sensory non-peptidergic neurons	PSNP6	Non-peptidergic (NP3), DRG
