Lvl1	Lvl2	Lvl3	Lvl4	Lvl5	Description
Neurons	CNS neurons	Immature neural	Glutamatergic neuroblasts	CBNBL1	Neuroblasts, cerebellum
Neurons	CNS neurons	Immature neural	Glutamatergic neuroblasts	SEPNBL	Neuroblasts, septum
Neurons	CNS neurons	Telencephalon interneurons	Olfactory inhibitory neurons	OBNBL5	Inhibitory neurons, olfactory bulb
Neurons	CNS neurons	Telencephalon interneurons	Olfactory inhibitory neurons	OBNBL4	Inhibitory neurons, olfactory bulb
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon excitatory neurons	DECHO2	Cholinergic neurons, habenula
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Peptidergic neurons	HYPEP5	Vasopressin-producing cells, hypothalamus
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Peptidergic neurons	DEINH7	Inhibitory neurons, hypothalamus
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Peptidergic neurons	HYPEP4	Oxytocin-producing cells, hypothalamus
Neurons	CNS neurons	Hindbrain neurons	Hindbrain neurons	HBGLU8	Excitatory neurons, hindbrain
Neurons	CNS neurons	Hindbrain neurons	Hindbrain neurons	HBGLU6	Excitatory neurons, hindbrain
Neurons	CNS neurons	Hindbrain neurons	Hindbrain neurons	HBGLU7	Excitatory neurons, hindbrain
Neurons	CNS neurons	Hindbrain neurons	Hindbrain neurons	HBGLU5	Excitatory neurons, hindbrain
Neurons	CNS neurons	Hindbrain neurons	Hindbrain neurons	HBGLU4	Excitatory neurons, hindbrain
Neurons	CNS neurons	Hindbrain neurons	Hindbrain neurons	HBCHO2	Cholinergic neurons, hindbrain
Neurons	CNS neurons	Hindbrain neurons	Hindbrain neurons	HBCHO1	Cholinergic neurons, hindbrain
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Cholinergic and monoaminergic neurons	HBCHO3	Afferent nuclei of cranial nerves VI-XII
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Cholinergic and monoaminergic neurons	HBADR	Adrenergic cell groups of the medulla
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Cholinergic and monoaminergic neurons	HBCHO4	Afferent nuclei of cranial nerves III-V
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Cholinergic and monoaminergic neurons	TECHO	Cholinergic interneurons, telencephalon
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Cholinergic and monoaminergic neurons	DECHO1	Cholinergic neurons, septal nucleus, Meissnert and diagonal band
Neurons	CNS neurons	Hindbrain neurons	Hindbrain neurons	SCINH1	Inhibitory neurons, spinal cord
Neurons	CNS neurons	Hindbrain neurons	Hindbrain neurons	HBINH8	Inhibitory neurons, hindbrain
Neurons	CNS neurons	Hindbrain neurons	Hindbrain neurons	HBINH7	Inhibitory neurons, hindbrain
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon inhibitory neurons	HBINH5	Inhibitory neurons, hindbrain
Neurons	CNS neurons	Cerebellum neurons	Cerebellum neurons	CBINH2	Granular layer interneurons, cerebellum
Neurons	CNS neurons	Cerebellum neurons	Cerebellum neurons	CBPC	Purkinje cells
Neurons	CNS neurons	Cerebellum neurons	Cerebellum neurons	CBINH1	Molecular layer interneurons, cerebellum
Neurons	CNS neurons	Cerebellum neurons	Cerebellum neurons	MEINH1	Inhibitory neurons, midbrain
Neurons	CNS neurons	Telencephalon interneurons	Telencephalon inhibitory interneurons	TEINH17	Axo-axonic, cortex/hippocampus
Neurons	CNS neurons	Telencephalon interneurons	Telencephalon inhibitory interneurons	TEINH18	Basket and bistratified cells, cortex/hippocampus
Neurons	CNS neurons	Telencephalon interneurons	Telencephalon inhibitory interneurons	DEINH2	Inhibitory neurons, thalamus
Neurons	CNS neurons	Telencephalon interneurons	Telencephalon inhibitory interneurons	DEINH1	Inhibitory neurons, thalamus
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Peptidergic neurons	DEINH6	Peptidergic neurons, hypothalamus
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon inhibitory neurons	MEINH13	Inhibitory neurons, midbrain
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon inhibitory neurons	MEINH8	Inhibitory neurons, midbrain
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Peptidergic neurons	MEINH14	Inhibitory neurons, midbrain
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Peptidergic neurons	DEINH4	Inhibitory neurons, thalamus
